"Fighter","Opponent","Date","Country","WT_Class","Height","Weight","Birthdate","Team","Nickname","Stance","Reach","Decision","Rnd","Time","Event","Res","SDBL","SDB_A","SDHL","SDH_A","SDLL","SDL_A","TSL","TS_A","SSL","SS_A","X.Total_Strikes","KD","X.BODY","X.HEAD","X.LEG","SCBL","SCB_A","SCHL","SCH_A","SCLL","SCL_A","RV","SR","TDL","TD_A","TDS","X.TK_ACC","SGBL","SGB_A","SGHL","SGH_A","SGLL","SGL_A","AD","ADTB","ADHG","ADTM","ADTS","SM","Southpaw_Stance","Orthodox_Stance","Switch_Stance","Time_Seconds","Total_Fight_Time_Seconds","Decision_Unanimous","KO_TKO","Submission","Decision_Split","No_Contest","Draw","Decision_Majority","TKO_Doctors_Stoppage","Africa","Asia","Europe","North_America","South_America","Oceania","X.Significant_Strikes","X.Clinch_Body_Strikes","X.Clinch_Head_Strikes","X.Clinch_Leg_Strikes","X.Ground_Body_Strikes","X.Ground_Head_Strikes","X.Ground_Leg_Strikes","Results","Continent"
"Mackenzie Dern","Hannah Cifers",2015-12-11,"USA","Women's Featherweight",64,115,1984-02-12,"RVCA","","Orthodox",63,"Submission",1,"2:36","UFC on ESPN: Woodley vs. Burns","W",10,14,44,127,8,9,101,195,82,174,51,0,76,40,90,6,7,10,13,1,1,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,156,156,0,0,1,0,0,0,0,0,0,0,0,1,0,0,47,85,76,100,0,100,0,1,"North America"
"Mackenzie Dern","Nina Nunes",2015-12-10,"USA","Women's Featherweight",64,115,1987-12-07,"RVCA","","Orthodox",63,"Submission",1,"4:48","UFC on ABC: Vettori vs. Holland","W",5,6,39,144,2,2,58,164,50,156,35,0,86,29,100,1,1,2,2,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,288,288,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32,100,100,0,0,100,0,1,"North America"
"Pannie Kianzad","Jessica-Rose Clark",2018-07-06,"Sweden","Women's Bantamweight",67,136,1989-07-22,"Arte Suave Copenhagen","Banzai","Orthodox",66,"Decision - Unanimous",3,"5:00","UFC Fight Night: Zabit vs. Kattar","W",12,27,68,188,13,14,103,243,98,238,42,0,47,37,93,2,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,41,66,50,0,0,0,0,1,"Europe"
"Chris Gutierrez","Alatengheili",2018-11-30,"USA","Bantamweight",69,136,1989-04-12,"FactoryX Muay Thai","El Guapo","Orthodox",67,"Decision - Unanimous",3,"5:00","UFC Fight Night: Yusuff vs. Barboza","W",10,19,44,95,56,81,115,203,110,197,56,0,50,46,69,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,1,"North America"
"Lukasz Brzeski","Karl Williams",2012-05-26,"Poland","Heavyweight",76,235,1985-08-06,"Universal Fight Team Rzeszow","The Bull","Orthodox",78,"Decision - Unanimous",3,"5:00","UFC Fight Night: Yan vs. Dvalishvili","L",4,4,16,34,2,2,49,72,26,46,68,0,100,49,100,1,1,3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,56,100,75,0,0,0,0,0,"Europe"
"Sedriques Dumas","Josh Fremd",2012-07-21,"USA","Middleweight",74,186,1985-08-06,"Team Remedy BJJ & MMA","The Reaper","Orthodox",79,"Submission",2,"3:00","UFC Fight Night: Yan vs. Dvalishvili","L",1,4,8,26,10,13,23,47,20,44,48,0,40,31,77,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180,480,0,0,1,0,0,0,0,0,0,0,0,1,0,0,45,100,0,0,0,0,0,0,"North America"
"Karl Williams","Lukasz Brzeski",2013-02-02,"USA","Heavyweight",75,246,1986-09-09,"American Top Team Atlanta","","Orthodox",79,"Decision - Unanimous",3,"5:00","UFC Fight Night: Yan vs. Dvalishvili","W",3,4,16,27,3,3,120,168,38,58,71,1,80,62,100,0,0,2,5,0,0,0,0,8,13,0,62,1,1,13,18,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,65,0,40,0,100,72,0,1,"North America"
"Merab Dvalishvili","Petr Yan",2013-02-23,"Georgia","Bantamweight",66,135,1987-08-03,"Serra-Longo Fight Team","The Machine","Orthodox",68,"Decision - Unanimous",5,"5:00","UFC Fight Night: Yan vs. Dvalishvili","W",29,46,81,242,19,24,202,401,147,338,50,0,67,35,81,6,6,10,18,2,2,0,0,11,49,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,1500,1,0,0,0,0,0,0,0,0,1,0,0,0,0,43,100,55,100,0,0,0,1,"Asia"
"Elves Brener","Kurt Holobaugh",2013-08-03,"Brazil","Lightweight",69,155,1987-08-03,"Team Nogueira","Elfen","Orthodox",73,"Submission",1,"3:25","UFC Fight Night: Woodley vs. Burns","W",8,11,37,90,8,11,93,165,65,132,56,1,83,42,62,5,5,1,3,0,0,0,0,2,7,0,28,2,2,4,8,0,2,0,0,0,0,0,0,0,1,0,205,205,0,0,1,0,0,0,0,0,0,0,0,0,1,0,49,100,33,0,100,50,0,1,"South America"
"Chris Gutierrez","Vince Morales",2014-02-01,"USA","Bantamweight",69,136,1987-08-03,"FactoryX Muay Thai","El Guapo","Orthodox",67,"KO/TKO",2,"4:27","UFC Fight Night: Woodley vs. Burns","W",4,6,17,40,35,44,60,94,60,94,63,2,67,46,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,1,0,267,567,0,1,0,0,0,0,0,0,0,0,0,1,0,0,63,0,0,0,0,100,100,1,"North America"
"Gilbert Burns","Tyron Woodley",2014-03-15,"Brazil","Welterweight",70,171,1985-08-06,"Kill Cliff FC","Durinho","Orthodox",71,"Decision - Unanimous",5,"5:00","UFC Fight Night: Woodley vs. Burns","W",16,19,20,58,15,25,156,211,83,138,73,0,87,50,60,10,11,3,5,0,0,0,0,2,8,0,25,1,1,18,19,0,0,3,0,1,0,1,1,0,1,0,300,1500,1,0,0,0,0,0,0,0,0,0,0,0,1,0,60,90,60,0,100,94,0,1,"South America"
"Tom Aspinall","Jake Collier",2014-03-15,"England","Heavyweight",77,251,1991-09-25,"Team Kaobon","No","Orthodox",78,"KO/TKO",1,"0:45","UFC Fight Night: Whittaker vs. Till","W",1,1,6,6,2,2,10,10,10,10,100,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,45,45,0,1,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,100,0,1,"Europe"
"Nathaniel Wood","John Castaneda",2014-05-24,"England","Featherweight",66,145,1987-12-07,"Great Britain Top Team","The Prospect","Orthodox",69,"Decision - Unanimous",3,"5:00","UFC Fight Night: Whittaker vs. Till","W",12,19,53,135,58,67,136,240,131,232,56,0,64,41,87,2,3,6,8,0,0,0,0,1,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,56,66,75,0,0,0,0,1,"Europe"
"Jai Herbert","Francisco Trinaldo",2014-05-23,"England","Lightweight",73,155,1988-03-20,"Renegade MMA","Black Country Banger","Orthodox",77,"KO/TKO",3,"1:30","UFC Fight Night: Whittaker vs. Till","L",3,4,11,55,2,2,37,90,21,70,41,1,80,24,100,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,1,0,90,690,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30,100,80,0,0,0,0,0,"Europe"
"Pannie Kianzad","Bethe Correia",2014-08-30,"Sweden","Women's Bantamweight",67,136,1988-08-08,"Arte Suave Copenhagen","Banzai","Orthodox",66,"Decision - Unanimous",3,"5:00","UFC Fight Night: Whittaker vs. Till","W",5,7,75,167,17,17,106,205,103,199,51,0,71,45,100,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,51,71,100,0,0,0,0,1,"Europe"
"Loopy Godinez","Jessica Penne",2014-10-25,"Mexico","Women's Featherweight",62,115,1987-08-03,"Lobo Gym MMA","","Orthodox",61,"Decision - Split",3,"5:00","UFC Fight Night: Whittaker vs. Gastelum","L",4,5,31,61,2,2,68,106,40,74,64,0,88,49,67,3,3,0,1,0,0,0,0,3,9,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,1,0,0,54,100,0,0,0,0,0,0,"North America"
"Gerald Meerschaert","Bartosz Fabinski",2014-10-25,"USA","Middleweight",73,185,1986-07-20,"Roufusport","GM3","Orthodox",77,"Submission",1,"2:00","UFC Fight Night: Whittaker vs. Gastelum","W",0,0,5,7,0,0,12,14,8,10,85,0,100,78,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,120,120,0,0,1,0,0,0,0,0,0,0,0,1,0,0,80,100,100,0,0,0,0,1,"North America"
"Marlon Vera","Guangyou Ning",2014-11-15,"Ecuador","Bantamweight",68,136,1992-12-02,"RVCA","Chito","Switch",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Whittaker vs. Brunson","W",7,14,10,31,6,10,46,87,36,72,52,1,50,46,67,1,2,0,0,1,1,0,0,1,3,0,33,0,0,10,13,1,1,2,2,0,0,0,2,0,0,1,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,50,0,100,0,76,100,1,"South America"
"Dan Hooker","Jason Knight",2015-01-03,"New Zealand","Lightweight",72,155,1984-03-16,"City Kickboxing","The Hangman","Orthodox",75,"Decision - Unanimous",3,"5:00","UFC Fight Night: Whittaker vs. Brunson","L",1,5,43,84,3,9,58,111,47,100,52,0,20,50,33,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0,"Oceania"
"Shara Magomedov","Antonio Trocoli",2015-02-28,"Russia","Middleweight",74,186,1984-02-12,"GOR MMA","Bullet","Orthodox",73,"KO/TKO",3,"2:27","UFC Fight Night: Whittaker vs. Aliskerov","W",16,18,21,44,32,32,108,136,82,108,79,1,92,54,100,6,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,147,747,0,1,0,0,0,0,0,0,0,1,0,0,0,0,75,100,87,0,0,0,0,1,"Asia"
"Leon Edwards","Peter Sobotta",2015-06-13,"England","Welterweight",74,170,1985-01-12,"Renegade MMA","Rocky","Southpaw",74,"KO/TKO",3,"4:59","UFC Fight Night: Werdum vs. Volkov","W",4,5,12,43,0,2,71,117,42,86,60,1,83,47,0,1,1,0,0,0,0,1,0,1,2,0,50,0,0,25,35,0,0,4,1,3,0,0,0,1,0,0,299,899,0,1,0,0,0,0,0,0,0,0,1,0,0,0,48,100,0,0,0,71,0,1,"Europe"
"Belal Muhammad","Tim Means",2015-08-01,"Palestine","Welterweight",71,169,1987-08-03,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Split",3,"5:00","UFC Fight Night: Werdum vs. Tybura","W",10,16,72,199,6,6,90,224,88,221,40,0,62,36,100,0,0,0,0,0,0,0,0,1,5,0,20,0,0,8,8,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,1,0,0,0,0,0,1,0,0,0,0,39,0,0,0,0,100,0,1,"Asia"
"Marcin Tybura","Fabricio Werdum",2015-09-05,"Poland","Heavyweight",75,247,1991-09-25,"Ankos MMA","Tybur","Orthodox",78,"Decision - Unanimous",5,"5:00","UFC Fight Night: Werdum vs. Tybura","L",12,19,75,188,31,35,137,269,127,257,50,0,65,41,89,1,1,7,13,0,0,0,0,1,1,1,100,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,300,1500,1,0,0,0,0,0,0,0,0,0,1,0,0,0,49,100,53,0,0,100,0,0,"Europe"
"Tai Tuivasa","Rashad Coulter",2015-10-03,"Australia","Heavyweight",74,265,1990-02-13,"Lions High Performance Centre","Bam Bam","Southpaw",75,"KO/TKO",1,"4:35","UFC Fight Night: Werdum vs. Tybura","W",2,3,9,19,3,3,22,36,22,36,61,1,75,55,100,1,1,5,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,275,275,0,1,0,0,0,0,0,0,0,0,0,0,0,1,61,100,62,0,0,100,0,1,"Oceania"
"Marlon Vera","Brian Kelleher",2015-10-03,"Ecuador","Bantamweight",68,136,1985-01-12,"RVCA","Chito","Switch",70,"Submission",1,"2:18","UFC Fight Night: Weidman vs. Gastelum","W",1,2,2,11,1,1,5,15,5,15,33,0,67,18,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,138,138,0,0,1,0,0,0,0,0,0,0,0,0,1,0,33,100,0,0,0,0,0,1,"South America"
"Bobby Green","Alan Patrick",2016-01-02,"USA","Lightweight",70,154,1991-02-21,"Icon MMA","King","Orthodox",71,"Decision - Unanimous",3,"5:00","UFC Fight Night: Waterson vs. Hill","W",3,4,31,58,1,1,109,149,61,95,73,0,95,55,100,15,15,1,2,1,1,0,0,4,6,0,67,9,14,5,14,0,0,5,0,0,0,0,2,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,64,100,50,100,64,35,0,1,"North America"
"Angela Hill","Michelle Waterson-Gomez",2016-03-05,"USA","Strawweight",63,115,1988-03-07,"Alliance MMA","Overkill","Orthodox",64,"Decision - Split",5,"5:00","UFC Fight Night: Waterson vs. Hill","L",28,46,74,182,3,3,146,278,131,261,52,0,71,42,100,17,17,7,11,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,300,1500,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50,100,63,100,0,100,0,0,"North America"
"Kyle Nelson","Billy Quarantillo",2016-06-04,"Canada","Featherweight",71,145,1986-09-09,"House Of Champions","The Monster","Switch",71,"KO/TKO",3,"0:07","UFC Fight Night: Waterson vs. Hill","L",10,17,30,75,3,3,62,120,56,114,51,0,65,44,100,3,3,7,13,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,7,607,0,1,0,0,0,0,0,0,0,0,0,1,0,0,49,100,53,0,0,100,0,0,"North America"
"Leon Edwards","Bryan Barberena",2016-06-04,"England","Welterweight",74,170,1991-09-25,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00","UFC Fight Night: Volkov vs. Struve","W",1,2,13,40,7,7,58,87,23,51,66,0,75,32,100,2,2,0,0,0,0,0,0,3,6,0,50,0,0,0,0,0,0,5,4,1,0,0,3,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,45,100,0,0,0,0,0,1,"Europe"
"Alonzo Menifield","Askar Mozharov",2016-06-04,"USA","Light Heavyweight",72,205,1991-02-21,"Fortis MMA","Atomic","Orthodox",76,"KO/TKO",1,"4:40","UFC Fight Night: Volkov vs. Rozenstruik","W",1,1,2,5,0,0,55,59,19,22,93,0,100,86,0,0,0,0,0,0,0,0,0,2,3,0,67,0,0,16,16,0,0,0,0,0,0,0,0,0,1,0,280,280,0,1,0,0,0,0,0,0,0,0,0,1,0,0,86,0,0,0,0,100,0,1,"North America"
"Damon Jackson","Dan Argueta",2016-08-20,"USA","Featherweight",71,146,1987-08-03,"Fortis MMA","The Leech","Switch",71,"Decision - Unanimous",3,"5:00","UFC Fight Night: Volkov vs. Rozenstruik","W",15,30,20,35,8,12,45,90,32,64,50,0,50,50,50,6,12,3,6,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,50,50,50,50,50,0,50,1,"North America"
"Jairzinho Rozenstruik","Alexander Volkov",2016-09-10,"Suriname","Heavyweight",74,260,1991-09-25,"American Top Team","Bigi Boy","Orthodox",78,"KO/TKO",1,"2:12","UFC Fight Night: Volkov vs. Rozenstruik","L",0,0,3,15,3,3,6,18,6,18,33,0,0,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132,132,0,1,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,"South America"
"Ode Osbourne","Zarrukh Adashev",2016-10-08,"Jamaica","Flyweight",67,125,1991-08-25,"Syndicate MMA","The Jamaican Sensation","Southpaw",73,"KO/TKO",1,"1:01","UFC Fight Night: Volkov vs. Rozenstruik","W",0,0,1,8,0,0,7,15,7,15,46,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,1,0,0,61,61,0,1,0,0,0,0,0,0,0,0,0,1,0,0,46,0,0,0,0,85,0,1,"North America"
"Tom Aspinall","Alexander Volkov",2016-11-12,"England","Heavyweight",77,251,1988-07-09,"Team Kaobon","No","Orthodox",78,"Submission",1,"3:45","UFC Fight Night: Volkov vs. Aspinall","W",3,3,5,15,8,8,35,50,29,43,70,0,100,53,100,0,0,1,1,0,0,0,0,2,2,0,100,2,2,10,14,0,0,0,0,0,0,0,1,0,1,0,225,225,0,0,1,0,0,0,0,0,0,0,1,0,0,0,67,0,100,0,100,71,0,1,"Europe"
"Paddy Pimblett","Kazula Vargas",2016-12-10,"England","Lightweight",70,156,1987-12-07,"Next Generation UK","The Baddy","Orthodox",73,"Submission",1,"3:49","UFC Fight Night: Volkov vs. Aspinall","W",0,0,0,2,2,2,5,8,3,6,62,0,0,25,100,0,0,0,1,0,0,0,0,1,2,0,50,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,229,229,0,0,1,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,100,0,1,"Europe"
"Arnold Allen","Dan Hooker",2016-12-30,"England","Featherweight",68,145,1987-08-03,"BKK Fighters","Almighty","Southpaw",70,"KO/TKO",1,"4:25","UFC Fight Night: Volkov vs. Aspinall","W",0,0,40,69,6,6,50,85,49,84,58,0,0,55,100,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,265,265,0,1,0,0,0,0,0,0,0,0,1,0,0,0,58,0,33,0,0,0,0,1,"Europe"
"Molly McCann","Luana Carolina",2017-02-11,"England","Women's Featherweight",64,116,1988-07-09,"Next Generation UK","Meatball","Orthodox",62,"KO/TKO",3,"1:52","UFC Fight Night: Volkov vs. Aspinall","W",22,29,42,105,5,5,99,174,85,159,56,1,78,44,100,4,5,10,13,0,0,0,0,2,2,0,100,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,112,712,0,1,0,0,0,0,0,0,0,0,1,0,0,0,53,80,76,0,100,0,0,1,"Europe"
"Muhammad Mokaev","Cody Durden",2017-02-11,"England","Flyweight",67,126,1989-04-12,"KHK MMA Team","The Punisher","Orthodox",70,"Submission",1,"0:58","UFC Fight Night: Volkov vs. Aspinall","W",1,2,1,2,0,0,2,5,2,5,40,1,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,58,58,0,0,1,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,1,"Europe"
"Jai Herbert","Ilia Topuria",2017-02-11,"England","Lightweight",73,155,1984-03-16,"Renegade MMA","Black Country Banger","Orthodox",77,"KO/TKO",2,"1:07","UFC Fight Night: Volkov vs. Aspinall","L",1,2,17,56,1,1,50,94,22,63,53,1,50,33,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,67,367,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34,0,100,0,0,66,0,0,"Europe"
"Dan Hooker","Arnold Allen",2017-03-04,"New Zealand","Lightweight",72,155,1985-11-09,"City Kickboxing","The Hangman","Orthodox",75,"KO/TKO",1,"2:33","UFC Fight Night: Volkov vs. Aspinall","L",0,2,11,44,3,3,14,49,14,49,28,0,0,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,153,153,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,"Oceania"
"Loopy Godinez","Loma Lookboonmee",2017-05-13,"Mexico","Women's Featherweight",62,115,1991-09-25,"Lobo Gym MMA","","Orthodox",61,"Decision - Unanimous",3,"5:00","UFC Fight Night: Vieira vs. Tate","W",5,5,11,29,1,1,64,98,23,45,65,0,100,39,100,1,1,0,1,2,2,0,0,5,12,0,42,0,0,3,6,0,0,0,0,0,0,1,1,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,51,100,0,100,0,50,0,1,"North America"
"Sam Hughes","Luana Pinheiro",2017-06-02,"USA","Women's Featherweight",65,114,1987-12-18,"Fortis MMA","Sampage","Orthodox",64,"Decision - Unanimous",3,"5:00","UFC Fight Night: Vieira vs. Tate","L",6,22,20,68,24,36,65,147,53,130,44,0,27,32,67,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,75,0,0,0,0,0,"North America"
