"Fighter","Opponent","Date","Country","WT_Class","Weight","Birthdate","Height","Team","Nickname","Stance","Reach","Decision","Rnd","Time","Time_Seconds","Total_Fight_Time_Seconds","Event","Res","Results","Decision_Unanimous","KO_TKO","Submission","Decision_Split","Draw","No_Contest","Decision_Majority","TKO_Doctors_Stoppage","Southpaw_Stance","Orthodox_Stance","Switch_Stance","Continent","Africa","Asia","Europe","South_America","North_America","Oceania","SDBL","SDB_A","SDHL","SDH_A","SDLL","SDL_A","TSL","TS_A","SSL","SS_A","KD","SCBL","SCB_A","SCHL","SCH_A","SCLL","SCL_A","RV","SR","TDL","TD_A","TDS","SGBL","SGB_A","SGHL","SGH_A","SGLL","SGL_A","AD","ADTB","ADHG","ADTM","ADTS","SM","X.Ground_Body_Strikes","X.Ground_Head_Strikes","X.Ground_Leg_Strikes","X.Clinch_Body_Strikes","X.Clinch_Head_Strikes","X.Clinch_Leg_Strikes","X.LEG","X.BODY","X.HEAD","X.Total_Strikes","X.TK_ACC","X.Significant_Strikes"
"Leon Edwards","Bryan Barberena",2017-09-02,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Volkov vs. Struve","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,1,2,13,40,7,7,58,87,23,51,0,2,2,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,5,4,1,0,0,3,0,0,0,100,0,0,100,75,32,66,50,45.0980392156863
"Leon Edwards","Vicente Luque",2017-03-17,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Manuwa vs. Anderson","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,9,11,34,74,1,1,77,135,53,102,0,3,5,3,4,2,3,0,0,3,12,0,0,0,1,3,0,0,1,0,1,0,0,0,0,33,0,60,75,66,75,71,47,57,25,51.9607843137255
"Leon Edwards","Albert Tumenov",2016-10-08,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Submission",3,"3:01",181,781,"UFC 204: Bisping vs. Henderson 2","W",1,0,0,1,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,7,13,7,55,0,1,31,89,16,72,0,0,1,0,0,2,2,0,0,3,10,0,0,0,0,0,0,0,6,2,2,1,1,1,0,0,0,0,0,100,67,50,13,34,30,22.2222222222222
"Leon Edwards","Dominic Waters",2016-05-08,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Overeem vs. Arlovski","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,3,3,5,14,0,0,55,69,24,35,0,1,1,0,0,0,0,0,0,2,3,0,3,3,12,14,0,0,7,0,3,1,3,1,100,85,0,100,0,0,0,100,61,79,67,68.5714285714286
"Leon Edwards","Kamaru Usman",2015-12-19,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00",300,900,"UFC on Fox: Dos Anjos vs. Cerrone 2","L",0,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,2,3,14,43,1,1,36,67,26,57,0,4,4,1,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100,0,100,50,100,100,86,36,53,0,45.6140350877193
"Leon Edwards","Pawel Pawlak",2015-07-18,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Bisping vs. Leites","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,6,9,15,43,2,2,73,110,36,71,1,0,0,3,5,0,0,0,0,0,4,0,0,0,10,12,0,0,2,0,0,0,0,0,0,83,0,0,60,0,100,67,47,66,0,50.7042253521127
"Leon Edwards","Seth Baczynski",2015-04-11,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"KO/TKO",1,"0:08",8,8,"UFC Fight Night: Gonzaga vs. Cro Cop 2","W",1,0,1,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,0,1,1,1,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,100
"Leon Edwards","Claudio Silva",2014-11-08,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Split",3,"5:00",300,900,"UFC Fight Night: Shogun vs. Saint Preux","L",0,0,0,0,1,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,6,7,16,42,0,0,42,70,33,61,0,2,2,4,5,0,0,2,0,0,0,0,0,0,5,5,0,0,1,0,1,0,0,0,0,100,0,100,80,0,0,89,48,60,0,54.0983606557377
"Belal Muhammad","Leon Edwards",2024-07-27,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",5,"5:00",300,1500,"UFC 304: Edwards vs. Muhammad 2","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,9,11,53,100,0,0,192,281,68,121,0,0,0,0,4,0,0,0,0,9,13,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,82,54,68,69,56.198347107438
"Belal Muhammad","Gilbert Burns",2023-05-06,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",5,"5:00",300,1500,"UFC 288: Sterling vs. Cejudo","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,39,41,92,241,1,1,132,283,132,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,100,0,0,0,0,100,95,38,46,0,46.643109540636
"Belal Muhammad","Sean Brady",2022-10-22,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"KO/TKO",2,"4:47",287,587,"UFC 280: Oliveira vs. Makhachev","W",1,0,1,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,11,19,63,180,5,7,80,209,80,209,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,71,58,35,38,0,38.2775119617225
"Belal Muhammad","Vicente Luque",2022-04-16,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",5,"5:00",300,1500,"UFC Fight Night: Luque vs. Muhammad 2","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,8,13,47,135,1,1,136,260,60,155,0,0,0,3,5,0,0,0,0,5,10,0,0,0,6,6,0,0,0,0,0,0,0,1,0,100,0,0,60,0,100,62,36,52,50,38.7096774193548
"Belal Muhammad","Stephen Thompson",2021-12-18,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Lewis vs. Daukaus","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,0,0,1,8,1,2,171,271,58,95,0,1,1,0,0,0,0,0,0,7,9,0,1,1,5,8,0,0,0,0,0,0,0,0,100,62,0,100,0,0,50,100,61,63,78,61.0526315789474
"Belal Muhammad","Demian Maia",2021-06-12,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC 263: Adesanya vs. Vettori 2","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,3,4,36,115,4,4,92,177,45,127,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,75,32,51,0,35.4330708661417
"Belal Muhammad","Leon Edwards",2021-03-13,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"No Contest",2,"0:18",18,318,"UFC Fight Night: Edwards vs. Muhammad","D",0,0,0,0,0,0,1,0,0,0,1,0,"Asia",0,0,0,0,0,0,1,3,5,20,0,0,14,32,8,26,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100,0,0,66,0,0,33,30,43,0,30.7692307692308
"Belal Muhammad","Dhiego Lima",2021-02-13,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC 258: Usman vs. Burns","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,18,29,100,218,0,1,136,284,129,264,0,2,2,9,14,0,0,0,0,1,10,0,2,2,10,10,0,0,0,0,0,0,0,0,100,100,0,100,64,0,0,64,47,47,10,48.8636363636364
"Belal Muhammad","Lyman Good",2020-06-20,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Blaydes vs. Volkov","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,10,12,53,137,10,11,86,176,82,172,0,4,4,5,8,0,0,0,0,2,8,0,4,4,0,0,0,0,0,0,0,0,0,0,100,0,0,100,62,0,91,88,40,48,25,47.6744186046512
"Belal Muhammad","Takashi Sato",2019-09-07,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Submission",3,"1:55",115,715,"UFC 242: Khabib vs. Poirier","W",1,0,0,1,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,7,19,33,77,2,2,78,148,49,106,0,0,0,3,4,0,0,0,0,2,9,0,0,0,25,25,0,0,0,0,0,0,0,0,0,100,0,0,75,0,100,37,47,52,22,46.2264150943396
"Belal Muhammad","Curtis Millender",2019-04-13,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC 236: Holloway vs. Poirier 2","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,4,7,25,67,4,4,126,217,47,107,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,41,58,33,43.9252336448598
"Belal Muhammad","Geoff Neal",2019-01-19,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Cejudo vs. Dillashaw","L",0,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,17,32,36,154,6,7,64,205,63,204,0,1,2,3,9,0,0,0,0,0,7,0,1,2,1,1,0,0,0,0,0,0,0,0,50,100,0,50,33,0,86,53,24,31,0,30.8823529411765
"Belal Muhammad","Chance Rencountre",2018-06-01,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Rivera vs. Moraes","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,8,11,40,93,17,20,88,149,70,130,0,0,0,0,1,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,73,46,59,75,53.8461538461538
"Belal Muhammad","Tim Means",2017-11-18,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Split",3,"5:00",300,900,"UFC Fight Night: Werdum vs. Tybura","W",1,0,0,0,1,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,10,16,72,199,6,6,90,224,88,221,0,0,0,0,0,0,0,0,0,1,5,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,62,36,40,20,39.8190045248869
"Belal Muhammad","Jordan Mein",2017-07-08,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC 213: Romero vs. Whittaker","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,9,14,16,68,2,3,116,194,45,110,0,3,5,10,13,0,0,0,0,4,12,1,3,5,0,0,0,0,0,0,0,0,0,0,60,0,0,60,76,0,67,65,34,59,33,40.9090909090909
"Belal Muhammad","Randy Brown",2017-02-11,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC 208: Holm vs. de Randamie","W",1,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,5,7,12,76,43,47,135,236,71,152,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,92,71,24,57,40,46.7105263157895
"Belal Muhammad","Vicente Luque",2016-11-12,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"KO/TKO",1,"1:19",79,79,"UFC 205: Alvarez vs. McGregor","L",0,0,1,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,0,0,2,8,1,2,3,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,30,0,30
"Belal Muhammad","Augusto Montano",2016-09-17,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"KO/TKO",3,"4:19",259,859,"UFC Fight Night: Poirier vs. Johnson","W",1,0,1,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,4,8,42,118,7,8,118,210,66,149,0,0,1,1,1,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,88,50,41,56,75,44.2953020134228
"Belal Muhammad","Alan Jouban",2016-07-07,"Palestine","Welterweight",169,1988-07-09,71,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00",300,900,"UFC Fight Night: Dos Anjos vs. Alvarez","L",0,1,0,0,0,0,0,0,0,0,1,0,"Asia",0,0,0,0,0,0,3,3,63,176,3,6,108,239,77,199,0,0,0,5,9,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,50,100,37,45,25,38.6934673366834
"Tom Aspinall","Curtis Blaydes",2024-07-27,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"KO/TKO",1,"1:00",60,60,"UFC 304: Edwards vs. Muhammad 2","W",1,0,1,0,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,0,0,4,8,0,0,14,19,14,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,74,73,0,73.6842105263158
"Tom Aspinall","Sergei Pavlovich",2023-11-11,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"KO/TKO",1,"1:09",69,69,"UFC 295: Procházka vs. Pereira","W",1,0,1,0,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,0,1,4,7,3,3,10,14,10,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,70,71,0,71.4285714285714
"Tom Aspinall","Marcin Tybura",2023-07-22,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"KO/TKO",1,"1:13",73,73,"UFC Fight Night: Aspinall vs. Tybura","W",1,0,1,0,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,1,1,6,9,0,0,13,18,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,100,71,72,0,72.2222222222222
"Tom Aspinall","Curtis Blaydes",2022-07-23,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"KO/TKO",1,"0:15",15,15,"UFC Fight Night: Blaydes vs. Aspinall","L",0,0,1,0,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,1,1,0,2,2,2,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,60,0,60
"Tom Aspinall","Alexander Volkov",2022-03-19,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"Submission",1,"3:45",225,225,"UFC Fight Night: Volkov vs. Aspinall","W",1,0,0,1,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,3,3,5,15,8,8,35,50,29,43,0,0,0,1,1,0,0,0,0,2,2,0,2,2,10,14,0,0,0,0,0,0,0,1,100,71,0,0,100,0,100,100,53,70,100,67.4418604651163
"Tom Aspinall","Serghei Spivac",2021-09-04,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"KO/TKO",1,"2:30",150,150,"UFC Fight Night: Brunson vs. Till","W",1,0,1,0,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,2,2,5,11,0,0,16,26,16,26,1,2,2,1,1,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,60,0,100,100,0,0,100,55,61,0,61.5384615384615
"Tom Aspinall","Andrei Arlovski",2021-02-20,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"Submission",2,"1:09",69,369,"UFC Fight Night: Blaydes vs. Lewis","W",1,0,0,1,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,3,4,13,28,8,8,41,64,37,60,0,3,3,9,16,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,100,56,100,100,86,50,64,100,61.6666666666667
"Tom Aspinall","Alan Baudot",2020-10-10,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"KO/TKO",1,"1:35",95,95,"UFC Fight Night: Moraes vs. Sandhagen","W",1,0,1,0,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,0,0,3,9,1,1,17,26,16,25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,15,0,0,1,0,0,1,0,0,0,80,0,0,0,0,100,0,62,65,100,64
"Tom Aspinall","Jake Collier",2020-07-25,"England","Heavyweight",251,1993-04-11,77,"Team Kaobon","The Honey Badger","Orthodox",78,"KO/TKO",1,"0:45",45,45,"UFC Fight Night: Whittaker vs. Till","W",1,0,1,0,0,0,0,0,0,0,1,0,"Europe",0,0,1,0,0,0,1,1,6,6,2,2,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,100,100,100,0,100
"Curtis Blaydes","Tom Aspinall",2024-07-27,"USA","Heavyweight",256,1991-02-18,76,"Elevation Fight Team","Razor","Orthodox",80,"KO/TKO",1,"1:00",60,60,"UFC 304: Edwards vs. Muhammad 2","L",0,0,1,0,0,0,0,0,0,0,1,0,"North America",0,0,0,0,1,0,0,0,5,11,0,0,5,12,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,41,0,45.4545454545455
"Curtis Blaydes","Jailton Almeida",2024-03-09,"USA","Heavyweight",256,1991-02-18,76,"Elevation Fight Team","Razor","Orthodox",80,"KO/TKO",2,"0:36",36,336,"UFC 299: O'Malley vs. Vera 2","W",1,0,1,0,0,0,0,0,0,0,1,0,"North America",0,0,0,0,1,0,0,0,0,5,0,0,19,28,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,64,67,0,64
"Curtis Blaydes","Sergei Pavlovich",2023-04-22,"USA","Heavyweight",256,1991-02-18,76,"Elevation Fight Team","Razor","Orthodox",80,"KO/TKO",1,"3:08",188,188,"UFC Fight Night: Pavlovich vs. Blaydes","L",0,0,1,0,0,0,0,0,0,0,1,0,"North America",0,0,0,0,1,0,1,1,11,51,2,4,14,56,14,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,22,25,0,25
"Curtis Blaydes","Tom Aspinall",2022-07-23,"USA","Heavyweight",256,1991-02-18,76,"Elevation Fight Team","Razor","Orthodox",80,"KO/TKO",1,"0:15",15,15,"UFC Fight Night: Blaydes vs. Aspinall","W",1,0,1,0,0,0,0,0,0,0,1,0,"North America",0,0,0,0,1,0,1,1,2,8,1,1,4,10,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,25,40,0,40
"Curtis Blaydes","Chris Daukaus",2022-03-26,"USA","Heavyweight",256,1991-02-18,76,"Elevation Fight Team","Razor","Orthodox",80,"KO/TKO",2,"0:17",17,317,"UFC Fight Night: Blaydes vs. Daukaus","W",1,0,1,0,0,0,0,0,0,0,1,0,"North America",0,0,0,0,1,0,0,1,18,47,6,6,30,63,30,63,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,8,0,0,0,0,0,0,0,0,100,62,0,0,0,0,100,50,42,47,0,47.6190476190476
